sample_name,porosity,nu,g,all_converged,total_iterations,iterations_x,iterations_y,iterations_z,K_star_xx,K_star_xy,K_star_xz,K_star_yx,K_star_yy,K_star_yz,K_star_zx,K_star_zy,K_star_zz,K_xx,K_xy,K_xz,K_yx,K_yy,K_yz,K_zx,K_zy,K_zz,K_star_eig1,K_star_eig2,K_star_eig3,K_eig1,K_eig2,K_eig3,symmetry_error,error_type,error_message,specific_surface_Sv,pore_size_mean,euler_characteristic_normalized,a20,a11,a02,a10,a01,a00,m,is_percolating_x,is_percolating_y,is_percolating_z,tortuosity_geometric_x,tortuosity_geometric_y,tortuosity_geometric_z
eps_0.02_coeffs_0.051_0.104_0.683_29.143_65.112_-1258.36_m_-0.461_rho_0.495_,0.5046172142028809,0.1666666666666666,1e-05,True,120000,35000,45000,40000,1.0011208417659887,-0.1794093107631834,0.037645852577245,-0.1794046465492204,0.7192256340230779,0.0078441877477852,0.0376373366632507,0.007855225753457,0.6979639904669657,0.5051828102523963,-0.0905330265993765,0.0189967452538217,-0.09053067295672,0.3629336358240263,0.0039583121689717,0.0189924479770255,0.0039638821366442,0.3522046444833663,0.6243055467649073,0.7033190261296688,1.090685893361456,0.3150353258199138,0.3549068876614366,0.5503788770784385,1.443610285928109e-05,,,0.1539619266986847,6.5601118322729555,3.814697265625e-06,0.051,0.104,0.683,29.143,65.112,-1258.36,-0.461,True,True,True,10.538843797168417,10.803261329826691,10.62695310021984
eps_0.02_coeffs_0.051_1.153_0.338_39.901_6.31_-1834.084_m_-0.423_rho_0.364_,0.6359553337097168,0.1666666666666666,1e-05,True,175000,55000,55000,65000,0.8770884487155042,-0.1675481856634424,0.1449934608574946,-0.1675537462633626,0.6490349797997684,0.0947102397242515,0.1450155988089484,0.0947194358586079,0.7780246843878879,0.5577890770958063,-0.1065531623260521,0.0922093647853547,-0.10655669861923,0.412757257167841,0.0602314821095636,0.0922234435336591,0.0602373304402571,0.4947889477942963,0.4795333780226963,0.8189201573690112,1.0056945775114532,0.3049618094453717,0.5207966419612233,0.6395768306513488,2.5168468768457452e-05,,,0.1315489113330841,8.614881627713462,2.2411346435546875e-05,0.051,1.153,0.338,39.901,6.31,-1834.084,-0.423,True,True,True,7.256841936748144,7.346406874747478,7.330835020041491
eps_0.02_coeffs_0.051_1.483_0.904_30.231_50.209_-2637.279_m_-0.41_rho_0.336_,0.6641125679016113,0.1666666666666666,1e-05,True,235000,65000,80000,90000,0.9345754417940206,0.0260052008632345,-0.0402248274511244,0.0260093576885019,1.00639233614772,-0.0551330994149898,-0.0402345484297985,-0.0551410330975251,0.932771291538005,0.62066329654761,0.0172703807240798,-0.0267138134519654,0.0172731413239825,0.668357798675564,-0.0366145842288637,-0.0267202692760752,-0.0366198530871451,0.619465137688207,0.8878324884705813,0.9345078058253776,1.0513987751837874,0.5896207137846755,0.6206183786507921,0.6982471404759134,1.1237831826031722e-05,,,0.1763033419847488,7.0478280573813175,-1.71661376953125e-05,0.051,1.483,0.904,30.231,50.209,-2637.279,-0.41,True,True,True,8.923413869638107,9.062619257020144,8.850098862609984
eps_0.02_coeffs_0.052_0.922_0.509_17.599_11.532_-1542.27_m_-0.413_rho_0.39_,0.6099319458007812,0.1666666666666666,1e-05,True,92500,35000,27500,30000,1.4382047215868097,-0.032371535965314,0.0901269796776978,-0.0323850246828972,1.8012725018631066,0.0068164989310844,0.0901184132697789,0.0068232424460111,1.2489589068479048,0.8772070042973136,-0.0197444339198839,0.0549713240839657,-0.0197526611196458,1.098653641978806,0.0041576004565853,0.0549660991581152,0.004161713541766,0.7617799362789592,1.2123357742942846,1.471959318886324,1.804141037117213,0.73944231777921,0.8977950115079283,1.1004032532679409,9.34339273012669e-06,,,0.1432450413703918,7.477412558340789,-1.6689300537109375e-05,0.052,0.922,0.509,17.599,11.532,-1542.27,-0.413,True,True,True,8.288751241095003,7.840790118491354,8.451716215409444
eps_0.02_coeffs_0.053_1.288_0.696_23.953_55.773_-2001.857_m_-0.589_rho_0.345_,0.6548495292663574,0.1666666666666666,1e-05,True,102500,37500,30000,35000,2.097725477524237,-0.1261866708082059,-0.0857732084428782,-0.1261378358007936,2.23900831376628,-0.0248529281013803,-0.0857766267726502,-0.0248285718766144,1.9580322565647883,1.3736945414867916,-0.0826332819784424,-0.0561685451724839,-0.0826013023968267,1.4662135402933092,-0.0162749282680795,-0.056170783664126,-0.0162589786057568,1.2822165014997953,1.897533707891044,2.082835968467895,2.314396371496368,1.2425990553794957,1.3639441534902383,1.515581374410162,2.120728086420699e-05,,,0.1314378827810287,8.943578132338692,-2.2411346435546875e-05,0.053,1.288,0.696,23.953,55.773,-2001.857,-0.589,True,True,True,6.614452975346193,6.7595979642953266,6.925487053244773
eps_0.02_coeffs_0.057_0.109_0.574_28.491_78.701_321.513_m_-0.362_rho_0.549_,0.4507913589477539,0.1666666666666666,1e-05,True,42500,17500,12500,12500,3.2371119233263235,2.8475414204122607,0.9703134582830688,2.849330262456491,11.568502937450676,0.81268694919935,0.9737665418126707,0.8146216145381543,9.259588943016407,1.459262082982251,1.2836470665676605,0.4374089224647193,1.284453461103722,5.214981160164473,0.3663522542286792,0.4389655426815887,0.3672243846458679,4.174142682919962,2.286550698128784,9.0016048091978,12.77704829646682,1.03075729651241,4.057845664648915,5.759782964905364,0.0003888982357881,,,0.1141437664628028,13.405893649395049,0.0006327629089355,0.057,0.109,0.574,28.491,78.701,321.513,-0.362,True,True,True,8.641045421693683,7.350875671729125,7.776263679988316
eps_0.02_coeffs_0.057_0.515_0.838_21.385_26.743_-737.301_m_-0.431_rho_0.621_,0.379486083984375,0.1666666666666666,1e-05,True,175000,50000,60000,65000,1.2912016478969837,0.1970848904638832,0.4673759901660824,0.1971016236725599,0.6752360929200167,0.1012350593103327,0.4673749500773853,0.101234958038321,0.8335728817386249,0.4899930569945981,0.0747909732946285,0.1773626842564463,0.0747973233144617,0.2562427006671267,0.0384172962196041,0.1773622895572597,0.0384172577882849,0.3163293086065613,0.5382454659290071,0.6281082482645302,1.6336569083620889,0.2042566640877439,0.238358339452192,0.6199500627283502,1.2948485823513516e-05,,,0.0797529742121696,9.251462974874912,8.58306884765625e-06,0.057,0.515,0.838,21.385,26.743,-737.301,-0.431,True,True,True,8.388602347636233,8.745497307003063,8.900258461306608
eps_0.02_coeffs_0.058_0.817_0.691_-19.493_48.367_-819.759_m_-0.22_rho_0.597_,0.4033131599426269,0.1666666666666666,1e-05,True,70000,22500,25000,22500,0.6490518738438348,-0.0013768292022037,-0.002035270497323,-0.0013768787563334,0.6614484891076924,0.0014897068946432,-0.0020352300380879,0.0014896427616687,0.652913410133031,0.2617711622066402,-0.000555293336242,-0.0008208513756133,-0.0005553133220747,0.2667708802812997,0.0006008183950668,-0.0008208350578713,0.0006007925293942,0.2633285706096691,0.6481410935439643,0.6533418150455447,0.6619308644950489,0.261403832525886,0.2635013519486699,0.266965428623053,1.130062779454405e-07,,,0.2219442576169967,3.3458851599380157,-0.0009660720825195,0.058,0.817,0.691,-19.493,48.367,-819.759,-0.22,True,True,True,18.35639026013251,18.233662895896128,18.262582067040555
eps_0.02_coeffs_0.058_0.837_0.784_57.495_103.9_988.97_m_-0.307_rho_0.594_,0.4061365127563476,0.1666666666666666,1e-05,True,35000,10000,12500,12500,11.402103714693968,5.701363554451031,-3.860329561257043,5.703158776756617,19.34228823777061,-11.666515951969256,-3.86505494513595,-11.689626773904935,23.46462923679064,4.6308106407720055,2.3155319119608766,-1.567820786099177,2.31626101728769,7.855609493616277,-4.738198104749095,-1.5697399370291911,-4.747584253376985,9.529842691350789,7.722523477407109,11.351857163868493,35.1346405479796,3.136398754793149,4.610403681841714,14.269460389104214,0.0008871049508115,,,0.0885336399078369,16.925264065725262,0.0005207061767578,0.058,0.837,0.784,57.495,103.9,988.97,-0.307,True,True,True,7.5331608027649635,7.015966000977024,6.642057640631723
eps_0.02_coeffs_0.06_-0.038_0.373_73.47_9.731_-3850.864_m_-0.383_rho_0.348_,0.6524133682250977,0.1666666666666666,1e-05,True,60000,20000,20000,20000,1.601187500501407,0.0058769739074942,-0.0194896086163143,0.0058839077844119,1.426309417010317,0.0730211330905475,-0.0194979980225964,0.073017791432681,1.462853338155752,1.044636130362048,0.0038342163419593,-0.0127152812027585,0.003838740095954,0.9305433308828764,0.0476399633912172,-0.0127207545635684,0.0476377832489531,0.954385073565522,1.3681200474833854,1.518223185739475,1.6040070224446157,0.8925798083149159,0.9905091023257288,1.0464756241698017,6.19761689451204e-06,,,0.1797594726085662,5.912119489359007,-7.05718994140625e-05,0.06,-0.038,0.373,73.47,9.731,-3850.864,-0.383,True,True,True,9.759893215835422,9.550051448266446,9.743559707993658
